index,Date,Rain
0,2020-06-10,12
1,2020-06-11,10.7
2,2020-06-12,0.8
3,2020-06-13,23.3
4,2020-06-14,12.8
5,2020-06-15,5.1
6,2020-06-16,7.3
7,2020-06-17,25.6
8,2020-06-18,6.7
9,2020-06-19,11
10,2020-06-20,0.5
11,2020-06-21,0.2
12,2020-06-22,0.8
13,2020-06-23,0
14,2020-06-24,4.2
15,2020-06-25,2.9
16,2020-06-26,8.2
17,2020-06-27,11.3
18,2020-06-28,8.4
19,2020-06-29,22.9
20,2020-06-30,0
21,2020-07-01,5.1
22,2020-07-02,8.5
23,2020-07-03,1.9
24,2020-07-04,0.1
25,2020-07-05,0.2
26,2020-07-06,1.9
27,2020-07-07,0
28,2020-07-08,0
29,2020-07-09,0
30,2020-07-10,25.4
31,2020-07-11,22.9
32,2020-07-12,0
33,2020-07-13,1.3
34,2020-07-14,3
35,2020-07-15,7.5
36,2020-07-16,1.9
37,2020-07-17,1.3
38,2020-07-18,0
39,2020-07-19,0
40,2020-07-20,0
41,2020-07-21,15.4
42,2020-07-22,6
43,2020-07-23,3.2
44,2020-07-24,33.5
45,2020-07-25,0
46,2020-07-26,1.3
47,2020-07-27,0
48,2020-07-28,2.6
49,2020-07-29,9.2
50,2020-07-30,1.6
51,2020-07-31,0.5
52,2020-08-01,1.4
53,2020-08-02,14.8
54,2020-08-03,14.3
55,2020-08-04,4.3
56,2020-08-05,0
57,2020-08-06,0
